Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1682924400000,28594.34000000,28713.94000000,28577.52000000,28629.09000000,2275.10997000,1682927999999,65160438.98674110,56439,1135.01012000,32504768.43825920,0
1682928000000,28629.08000000,28631.96000000,28550.10000000,28574.45000000,1443.35753000,1682931599999,41260608.18097630,30886,629.22056000,17986324.53204230,0
1682931600000,28574.45000000,28670.10000000,28500.00000000,28524.98000000,1319.00148000,1682935199999,37685844.64297560,34424,658.63587000,18821924.06296340,0
1682935200000,28524.99000000,28561.39000000,28487.42000000,28552.43000000,958.59903000,1682938799999,27351203.68492150,26081,498.60628000,14226723.29717890,0
1682938800000,28552.42000000,28591.63000000,28504.63000000,28523.86000000,1118.82922000,1682942399999,31933526.48976460,30075,506.29643000,14449922.57969540,0
1682942400000,28523.85000000,28610.26000000,28452.25000000,28596.32000000,1527.60800000,1682945999999,43608413.52218700,33189,802.03773000,22896422.90034180,0
1682946000000,28596.32000000,28629.42000000,28442.58000000,28457.84000000,1381.12291000,1682949599999,39414929.11486440,41306,637.39196000,18189294.39268690,0
1682949600000,28457.84000000,28573.57000000,28311.11000000,28473.30000000,2883.79202000,1682953199999,82078390.95797460,61195,1432.64404000,40778147.35891580,0
1682953200000,28473.31000000,28488.31000000,28075.36000000,28170.64000000,6264.40389000,1682956799999,176757421.56935340,108932,2921.98900000,82455702.50005100,0
1682956800000,28170.64000000,28388.16000000,28014.50000000,28360.80000000,3765.71997000,1682960399999,106159627.04444260,76654,1952.85917000,55072786.45114130,0
1682960400000,28360.80000000,28410.95000000,28167.44000000,28278.22000000,1990.63030000,1682963999999,56320946.11149330,48301,923.20082000,26121354.26602220,0
1682964000000,28278.21000000,28292.15000000,28090.71000000,28173.83000000,1658.95991000,1682967599999,46759522.25975320,45791,763.91752000,21527208.70264080,0
1682967600000,28173.83000000,28190.25000000,27799.99000000,27843.36000000,6753.52126000,1682971199999,188661881.35828760,123117,3063.43243000,85576799.60629230,0
1682971200000,27843.35000000,27964.48000000,27666.95000000,27678.09000000,3290.79657000,1682974799999,91549376.68052350,72266,1583.84508000,44070952.33044200,0
1682974800000,27678.09000000,28085.81000000,27672.86000000,27985.46000000,2043.35856000,1682978399999,57015939.29365090,53581,1104.55971000,30810637.43149340,0
1682978400000,27985.46000000,28159.26000000,27940.00000000,28020.01000000,1962.47535000,1682981999999,54992459.64285300,46663,939.97626000,26343231.80430350,0
1682982000000,28020.00000000,28144.49000000,28009.36000000,28068.26000000,1511.39018000,1682985599999,42466366.17770720,38437,735.93043000,20677615.20897270,0
1682985600000,28068.26000000,28145.60000000,27978.11000000,28050.42000000,1830.29425000,1682989199999,51334733.45561980,38455,834.65694000,23411411.18934710,0
1682989200000,28050.42000000,28092.61000000,27918.49000000,27942.87000000,1287.16353000,1682992799999,36058180.92880490,36229,590.19924000,16531836.82712990,0
1682992800000,27942.86000000,28035.98000000,27925.74000000,28008.52000000,1085.71012000,1682996399999,30376335.08439860,33489,560.27739000,15675058.20625090,0
1682996400000,28008.53000000,28046.52000000,27931.43000000,28043.76000000,931.28339000,1682999999999,26066140.26127910,25506,461.49246000,12917325.27606600,0
1683000000000,28043.75000000,28046.52000000,27918.45000000,27927.69000000,875.74443000,1683003599999,24506944.88812000,23749,420.17671000,11757938.43775480,0
1683003600000,27927.68000000,28015.00000000,27872.00000000,28000.01000000,1023.80797000,1683007199999,28617190.35004330,30328,501.80461000,14026918.39377320,0
1683007200000,28000.00000000,28035.02000000,27967.13000000,27999.10000000,844.57677000,1683010799999,23647695.32412040,26069,433.71159000,12143714.72187450,0
1683010800000,27999.10000000,28164.55000000,27992.84000000,28057.47000000,1493.66088000,1683014399999,41930179.16971440,37220,793.72270000,22283683.74109580,0
1683014400000,28057.47000000,28133.33000000,28014.06000000,28028.54000000,1472.12476000,1683017999999,41328782.41010770,34590,667.23265000,18731653.15959430,0
1683018000000,28028.55000000,28069.20000000,27939.40000000,27983.20000000,1476.82599000,1683021599999,41341912.06605320,36024,664.73936000,18607504.88941830,0
1683021600000,27983.21000000,28045.72000000,27967.56000000,28016.52000000,1027.43936000,1683025199999,28770336.01137570,30081,475.77865000,13322300.89287040,0
1683025200000,28016.53000000,28098.59000000,28012.90000000,28084.83000000,1064.03684000,1683028799999,29852384.32040350,28968,503.42342000,14123283.47672800,0
1683028800000,28084.83000000,28250.00000000,28004.53000000,28106.95000000,1987.05382000,1683032399999,55880887.92505660,48003,1035.44177000,29116684.67817120,0
1683032400000,28106.94000000,28141.00000000,27936.26000000,28009.07000000,1962.38719000,1683035999999,55018365.80486460,50487,868.44014000,24347895.56479860,0
1683036000000,28009.07000000,28629.93000000,27910.00000000,28374.22000000,9106.02335000,1683039599999,258450520.53649620,168248,4658.09895000,132205681.74842540,0
1683039600000,28374.22000000,28767.08000000,28263.70000000,28540.68000000,7079.13957000,1683043199999,201986879.70200160,127919,3599.90801000,102695240.81880310,0
1683043200000,28540.69000000,28614.45000000,28444.30000000,28468.58000000,2584.05309000,1683046799999,73691637.63957440,57387,1105.08250000,31515824.48484080,0
1683046800000,28468.58000000,28594.58000000,28431.48000000,28583.52000000,1660.93542000,1683050399999,47362075.34549120,44935,850.14748000,24242468.04342200,0
1683050400000,28583.53000000,28811.98000000,28537.19000000,28718.90000000,2684.15827000,1683053999999,76955771.49015770,67311,1363.11931000,39081137.80373500,0
1683054000000,28718.90000000,28879.88000000,28655.66000000,28686.14000000,3394.53773000,1683057599999,97679078.22209110,70662,1591.08655000,45789313.66399490,0
1683057600000,28686.13000000,28788.99000000,28622.44000000,28675.98000000,1833.48542000,1683061199999,52606182.18866460,44529,884.94458000,25392435.56980140,0
1683061200000,28675.98000000,28693.66000000,28616.08000000,28660.46000000,834.82841000,1683064799999,23920630.88017130,32853,342.75323000,9821385.85803490,0
1683064800000,28660.45000000,28815.43000000,28651.99000000,28736.91000000,1996.34648000,1683068399999,57381672.28848720,45265,998.22146000,28688769.14004290,0
1683068400000,28736.91000000,28770.18000000,28625.19000000,28669.86000000,1288.90536000,1683071999999,36969405.71854730,36390,584.90778000,16777365.19420720,0
1683072000000,28669.85000000,28689.35000000,28488.17000000,28503.72000000,2005.37832000,1683075599999,57340564.12839220,44971,1034.70604000,29588040.26388030,0
1683075600000,28503.71000000,28594.56000000,28489.42000000,28542.06000000,1372.22488000,1683079199999,39161521.61506130,32115,697.56874000,19907057.99848510,0
1683079200000,28542.06000000,28543.90000000,28336.30000000,28508.62000000,1731.62909000,1683082799999,49235906.27000410,37082,810.26991000,23039945.30856680,0
1683082800000,28508.62000000,28538.30000000,28444.13000000,28520.90000000,945.14960000,1683086399999,26938186.50826290,23021,464.40666000,13236234.03992820,0
1683086400000,28520.89000000,28525.24000000,28428.61000000,28514.99000000,953.77599000,1683089999999,27173736.25005130,22254,449.16484000,12796327.24259390,0
1683090000000,28514.99000000,28524.12000000,28452.10000000,28477.19000000,874.38274000,1683093599999,24910426.64777430,24016,379.41151000,10808828.25669070,0
1683093600000,28477.20000000,28680.00000000,28427.56000000,28600.02000000,2073.85163000,1683097199999,59224191.19065800,46341,1096.50638000,31315511.70015230,0
1683097200000,28600.02000000,28674.69000000,28582.44000000,28653.80000000,1406.01574000,1683100799999,40257335.18752110,30807,764.38635000,21885055.79872120,0
1683100800000,28653.81000000,28767.93000000,28589.00000000,28691.21000000,1885.69026000,1683104399999,54090767.84422720,41274,941.63991000,27013505.77396220,0
1683104400000,28691.21000000,28696.78000000,28602.54000000,28665.36000000,1196.99083000,1683107999999,34291118.34180620,30323,590.82280000,16924902.48140180,0
1683108000000,28665.37000000,28678.23000000,28557.16000000,28573.49000000,1510.26010000,1683111599999,43242664.29803330,32197,702.97215000,20126532.68864710,0
1683111600000,28573.49000000,28646.43000000,28526.18000000,28543.74000000,1510.86840000,1683115199999,43188635.70347240,45553,708.47637000,20251570.84694320,0
1683115200000,28543.73000000,28583.33000000,28207.61000000,28306.53000000,4857.55836000,1683118799999,138071512.96397120,123559,2281.54106000,64854441.38839690,0
1683118800000,28306.53000000,28400.00000000,28128.31000000,28373.55000000,4086.10572000,1683122399999,115522125.33919880,99464,2092.22875000,59147124.95935810,0
1683122400000,28373.55000000,28384.69000000,28113.69000000,28215.86000000,2876.46780000,1683125999999,81282867.35805170,62143,1221.96292000,34520476.63307480,0
1683126000000,28215.86000000,28347.29000000,28152.46000000,28311.51000000,1861.78483000,1683129599999,52602116.96986890,47390,991.28816000,28006660.45005160,0
1683129600000,28311.52000000,28488.00000000,28247.41000000,28476.96000000,2382.78705000,1683133199999,67627225.20845930,51491,1293.45505000,36714711.81117000,0
1683133200000,28476.96000000,28780.00000000,28380.00000000,28576.70000000,4679.85417000,1683136799999,133789780.50203260,105956,2475.69459000,70779346.96799120,0
1683136800000,28576.70000000,28800.00000000,28218.65000000,28444.29000000,8652.90108000,1683140399999,246668303.84966410,190406,4291.66624000,122337121.98974660,0
1683140400000,28444.29000000,28507.82000000,28211.08000000,28322.98000000,3400.77390000,1683143999999,96406787.10492420,99392,1607.08979000,45559636.06504230,0
1683144000000,28322.97000000,28577.21000000,28285.19000000,28518.72000000,1994.26637000,1683147599999,56670257.16842270,49856,1094.67453000,31109794.82827500,0
