Open_Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1672200000000,16650.65000000,16678.85000000,16585.71000000,16647.16000000,28797.52670000,1672214399999,478985581.54458430,847154,14533.60178000,241737777.92794120,0
1672214400000,16647.16000000,16689.30000000,16632.00000000,16678.98000000,25536.18644000,1672228799999,425391442.91519600,837479,12574.10047000,209468038.32566010,0
1672228800000,16678.52000000,16785.19000000,16569.94000000,16578.52000000,41691.03557000,1672243199999,695386845.41011870,1143615,20422.60292000,340640819.22425450,0
1672243200000,16578.02000000,16668.00000000,16563.63000000,16595.92000000,27900.69287000,1672257599999,463676490.67840620,888931,14134.00955000,234896790.65377860,0
1672257600000,16595.43000000,16615.67000000,16465.33000000,16547.31000000,34785.08740000,1672271999999,575196467.60434550,811954,17559.20814000,290360776.31151160,0
1672272000000,16547.32000000,16594.00000000,16488.91000000,16558.33000000,23608.82868000,1672286399999,390674355.44226220,733570,11723.48445000,194004121.00721630,0
1672286400000,16558.33000000,16583.87000000,16534.04000000,16556.37000000,21158.81283000,1672300799999,350417261.29184750,625708,10604.88674000,175631747.35763420,0
1672300800000,16556.37000000,16630.00000000,16517.54000000,16598.70000000,28212.71787000,1672315199999,467699830.72362620,836153,14416.89277000,238998022.91341920,0
1672315200000,16598.70000000,16664.41000000,16590.64000000,16616.60000000,34295.37736000,1672329599999,570184020.74915840,941064,17365.47224000,288718791.21178430,0
1672329600000,16616.60000000,16654.54000000,16590.82000000,16612.40000000,26230.77683000,1672343999999,436023374.65244170,696689,12999.96580000,216098911.29893990,0
1672344000000,16612.40000000,16654.51000000,16555.57000000,16633.47000000,27491.95801000,1672358399999,456666905.22228660,720693,13866.92243000,230348269.20603280,0
1672358400000,16633.47000000,16648.77000000,16579.75000000,16599.08000000,20857.62793000,1672372799999,346535166.36885390,644547,10220.86837000,169815468.94528780,0
1672372800000,16598.79000000,16615.35000000,16429.00000000,16474.93000000,28945.88758000,1672387199999,478773547.22122050,747134,14379.93891000,237843394.69493200,0
1672387200000,16475.10000000,16531.10000000,16458.25000000,16496.27000000,20505.90685000,1672401599999,338408473.87321110,647386,10187.64127000,168126077.75885700,0
1672401600000,16495.96000000,16580.70000000,16333.00000000,16555.26000000,44689.94988000,1672415999999,736342707.84956520,1025536,22441.92363000,369766497.97491700,0
1672416000000,16555.26000000,16577.00000000,16515.45000000,16525.37000000,25853.48693000,1672430399999,427651527.68967400,655067,12967.16600000,214496621.72759130,0
1672430400000,16525.91000000,16677.35000000,16523.91000000,16607.48000000,24063.45257000,1672444799999,399119633.72250140,590745,11972.93672000,198583039.65765920,0
1672444800000,16607.48000000,16616.37000000,16550.01000000,16552.46000000,15656.04768000,1672459199999,259499351.44474930,523659,7740.73481000,128305475.97078650,0
1672459200000,16552.46000000,16568.12000000,16531.00000000,16565.09000000,15808.94958000,1672473599999,261641253.18516260,481363,7954.87374000,131656759.19673280,0
1672473600000,16564.81000000,16583.90000000,16540.01000000,16567.15000000,20777.75988000,1672487999999,344089143.26967270,613305,10272.89229000,170123676.42574650,0
1672488000000,16567.52000000,16644.09000000,16547.12000000,16590.10000000,27839.30964000,1672502399999,461959755.00096680,714377,14182.44963000,235340262.73396590,0
1672502400000,16590.10000000,16613.30000000,16565.10000000,16570.14000000,16498.87510000,1672516799999,273642731.08136760,509335,8241.34275000,136688906.80664550,0
1672516800000,16570.14000000,16574.97000000,16470.00000000,16542.40000000,17909.48676000,1672531199999,296215270.93697830,502335,8628.77597000,142719312.20745820,0
1672531200000,16541.77000000,16559.77000000,16508.39000000,16533.04000000,15515.82327000,1672545599999,256565046.24440780,529532,7617.41262000,125959681.22808840,0
1672545600000,16533.04000000,16550.00000000,16499.01000000,16526.19000000,16532.24115000,1672559999999,273208014.18867230,502695,8215.80952000,135772740.03246280,0
1672560000000,16525.70000000,16557.00000000,16505.20000000,16556.66000000,15915.96701000,1672574399999,263119992.19629640,531758,8004.23188000,132326590.60298730,0
1672574400000,16556.66000000,16572.94000000,16533.68000000,16558.73000000,15046.09096000,1672588799999,249044515.38484690,520676,7515.69523000,124401941.54153330,0
1672588800000,16558.73000000,16623.65000000,16558.00000000,16603.08000000,18532.64857000,1672603199999,307401962.52476670,594496,9437.40515000,156541081.52146320,0
1672603200000,16603.53000000,16628.00000000,16586.24000000,16616.75000000,15382.64278000,1672617599999,255454259.13822250,539198,7758.22728000,128839638.90852370,0
1672617600000,16617.17000000,16707.25000000,16548.70000000,16661.94000000,19463.47510000,1672631999999,323032602.87927700,619992,9720.70175000,161345530.72567860,0
1672632000000,16662.38000000,16769.51000000,16619.44000000,16721.28000000,26026.88178000,1672646399999,434177885.60997090,777019,12891.53976000,215065867.86373760,0
1672646400000,16721.27000000,16772.01000000,16704.07000000,16735.11000000,23267.94119000,1672660799999,389312521.37502650,799698,11767.58225000,196896293.30732680,0
1672660800000,16735.51000000,16750.00000000,16669.15000000,16734.66000000,21747.21491000,1672675199999,363473571.02339380,755940,10798.20820000,180482354.75262040,0
1672675200000,16734.66000000,16739.64000000,16707.12000000,16737.56000000,12314.73653000,1672689599999,205920047.25100920,503108,6289.51015000,105169928.06483830,0
1672689600000,16737.56000000,16799.23000000,16660.51000000,16672.87000000,19068.32240000,1672703999999,318766587.12920100,580361,9457.71737000,158114805.97760460,0
1672704000000,16672.78000000,16706.14000000,16647.81000000,16691.81000000,20183.45596000,1672718399999,336660106.41405830,702462,10154.58549000,169379197.43233300,0
1672718400000,16691.81000000,16778.40000000,16681.79000000,16729.74000000,21434.34333000,1672732799999,358362836.10816180,787280,10732.87193000,179446504.97334870,0
1672732800000,16730.15000000,16766.00000000,16698.15000000,16721.03000000,25576.16376000,1672747199999,427836488.17296760,856872,12695.61047000,212375854.69283350,0
1672747200000,16721.42000000,16773.00000000,16617.79000000,16676.94000000,42131.78382000,1672761599999,703745447.45174690,1164560,20826.94352000,347885296.85434920,0
1672761600000,16677.54000000,16688.20000000,16605.28000000,16643.37000000,29519.13275000,1672775999999,491222512.97687440,909049,14690.13711000,244457833.62305170,0
1672776000000,16643.77000000,16695.00000000,16640.40000000,16675.18000000,20696.65771000,1672790399999,344938525.20185940,677373,10495.61394000,174926715.13775850,0
1672790400000,16675.65000000,16877.65000000,16652.66000000,16862.02000000,41904.57254000,1672804799999,702057787.44326570,1113721,21284.89731000,356598402.19313320,0
1672804800000,16862.61000000,16910.98000000,16840.36000000,16869.44000000,30270.25310000,1672819199999,510489950.35435920,974211,15129.39607000,255153370.40096080,0
1672819200000,16869.49000000,16919.00000000,16831.13000000,16835.35000000,30320.64004000,1672833599999,511054018.76656190,964344,15017.09692000,253121364.82106660,0
1672833600000,16835.35000000,16863.09000000,16765.30000000,16854.05000000,40843.05953000,1672847999999,687050576.82053860,1154970,20189.79426000,339633493.75824160,0
1672848000000,16853.55000000,16991.87000000,16787.85000000,16842.36000000,52076.35176000,1672862399999,879406879.46466220,1357745,25673.10055000,433568519.89294890,0
1672862400000,16842.32000000,16869.56000000,16777.00000000,16850.36000000,24947.31165000,1672876799999,419773996.99597760,745712,12452.82991000,209541860.31902590,0
1672876800000,16850.36000000,16878.18000000,16807.72000000,16827.71000000,21763.76721000,1672891199999,366480779.54793570,739990,10691.35832000,180035180.98252030,0
1672891200000,16827.71000000,16849.37000000,16789.87000000,16823.64000000,21213.55835000,1672905599999,356953889.52533000,659873,10524.65393000,177096686.65149920,0
1672905600000,16823.05000000,16839.00000000,16780.75000000,16833.60000000,26296.22105000,1672919999999,442148515.74604730,776702,13270.54755000,223138254.22047530,0
1672920000000,16833.60000000,16879.82000000,16753.00000000,16842.94000000,41963.23448000,1672934399999,705775474.61333740,1146141,20962.26178000,352570597.81061670,0
1672934400000,16842.94000000,16875.50000000,16800.50000000,16863.85000000,30157.46450000,1672948799999,507765572.75952330,858941,14769.16231000,248673476.54148280,0
1672948800000,16864.29000000,16873.52000000,16818.91000000,16831.85000000,22079.32082000,1672963199999,371956021.62555970,660367,10741.58773000,180957557.84670490,0
1672963200000,16831.85000000,16872.57000000,16802.01000000,16833.56000000,22896.56633000,1672977599999,385537449.35640890,663651,11290.03163000,190108924.51089480,0
1672977600000,16833.56000000,16837.87000000,16779.96000000,16794.06000000,24759.51652000,1672991999999,416109442.94447280,667637,12222.13933000,205403431.82884520,0
1672992000000,16794.33000000,16812.22000000,16709.88000000,16738.22000000,29976.56156000,1673006399999,502807373.18582010,819541,14555.96629000,244162834.26413790,0
1673006400000,16738.74000000,16849.00000000,16679.00000000,16840.82000000,52584.91113000,1673020799999,881566120.84522260,1317647,26512.09198000,444494825.32922180,0
1673020800000,16840.10000000,16965.41000000,16805.04000000,16939.91000000,42771.69765000,1673035199999,720924329.41048250,1031782,21620.98431000,364435116.40130620,0
1673035200000,16940.41000000,17041.00000000,16886.21000000,16950.65000000,34412.03096000,1673049599999,583360293.94571550,888403,17119.01611000,290223102.86789460,0
1673049600000,16950.31000000,16981.91000000,16930.46000000,16952.46000000,17943.00432000,1673063999999,304173695.55852760,579681,8736.17549000,148100805.25910560,0
1673064000000,16952.73000000,16954.45000000,16922.14000000,16948.09000000,15480.43183000,1673078399999,262214857.29842570,503303,7754.88925000,131356062.74520290,0
