Open_Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1672200000000,1197.72000000,1199.78000000,1188.50000000,1194.59000000,44280.36070000,1672214399999,52862987.49833200,68136,21451.37920000,25605984.13344700,0
1672214400000,1194.58000000,1198.32000000,1193.80000000,1196.30000000,30039.56080000,1672228799999,35924704.72504400,60587,14383.58010000,17201810.11192300,0
1672228800000,1196.31000000,1208.15000000,1186.32000000,1189.24000000,98285.39780000,1672243199999,117780492.95996200,104574,49554.99080000,59390877.93439300,0
1672243200000,1189.23000000,1201.01000000,1187.90000000,1193.04000000,45317.19920000,1672257599999,54157539.38116300,67077,22101.61340000,26416240.46107100,0
1672257600000,1193.05000000,1195.06000000,1181.06000000,1190.15000000,68945.33570000,1672271999999,81908504.72135400,82112,33758.91180000,40104762.21777600,0
1672272000000,1190.15000000,1195.45000000,1186.77000000,1194.95000000,49260.90300000,1672286399999,58671119.44623600,67471,25504.68350000,30373811.41774000,0
1672286400000,1194.96000000,1199.00000000,1192.12000000,1194.97000000,27040.78290000,1672300799999,32309218.39146400,49589,14179.59590000,16942661.55173700,0
1672300800000,1194.96000000,1202.99000000,1190.19000000,1198.84000000,40401.13670000,1672315199999,48386313.70781600,58415,19967.33090000,23916369.01206800,0
1672315200000,1198.84000000,1206.57000000,1197.71000000,1201.17000000,52580.05130000,1672329599999,63198908.24761700,71715,26182.69200000,31471178.17135400,0
1672329600000,1201.18000000,1202.90000000,1195.03000000,1198.44000000,35568.37160000,1672343999999,42645204.76745400,54286,15794.02740000,18934175.32256200,0
1672344000000,1198.44000000,1204.18000000,1191.48000000,1200.49000000,44279.24140000,1672358399999,53034342.65239300,75725,21752.58050000,26054126.43183900,0
1672358400000,1200.48000000,1202.15000000,1195.18000000,1197.59000000,29084.28100000,1672372799999,34849513.79411800,48416,15383.71480000,18432159.10106900,0
1672372800000,1197.59000000,1197.99000000,1184.59000000,1188.26000000,65018.74480000,1672387199999,77493935.09583000,70451,26988.30960000,32155050.79836300,0
1672387200000,1188.26000000,1194.84000000,1188.16000000,1190.70000000,35878.82870000,1672401599999,42754642.95878900,58751,18627.93960000,22197520.01297700,0
1672401600000,1190.69000000,1198.71000000,1181.08000000,1195.07000000,72423.69370000,1672415999999,86260464.92844300,88370,36884.96450000,43929206.23194800,0
1672416000000,1195.07000000,1198.30000000,1192.77000000,1194.89000000,25877.89420000,1672430399999,30933028.71929700,47137,12626.48330000,15092298.67891100,0
1672430400000,1194.88000000,1201.63000000,1194.88000000,1199.99000000,37730.76910000,1672444799999,45233239.08131000,51258,20069.52710000,24060462.56430400,0
1672444800000,1199.98000000,1200.49000000,1193.83000000,1194.42000000,17265.63030000,1672459199999,20665623.30650300,41072,8791.55930000,10523206.77230200,0
